gene_id	EV_4	DNMT3B_4	DNMT3B_2	EV_3	DNMT3B_3
YCL051W	646	554	550	608	572
YCL052C	1297	1134	1091	1085	1117
YCL054W	76	149	213	105	181
YCL054W-A	13	13	55	8	25
YCL055W	142	166	440	130	246
YCL056C	214	233	272	287	226
YCL057C-A	1378	1352	888	954	1158
YCL057W	487	667	441	382	581
YCL058C	47	71	76	77	58
YCL058W-A	107	134	127	120	126
YCL059C	95	219	323	217	339
YCL061C	69	89	102	79	129
YCL063W	42	51	106	52	84
YCL064C	260	378	165	249	371
YCL065W	0	0	0	0	0
YCL066W	0	0	0	0	0
YCL067C	0	0	0	0	0
YCL068C	3	5	3	7	4
YCL069W	4	1	6	10	4
YCL073C	0	2	5	1	2
YCL074W	0	1	7	0	1
YCL075W	0	0	1	0	3
YCL076W	1	1	1	0	0
YCR001W	20	16	26	21	21
YCR002C	335	402	533	326	492
YCR003W	147	199	174	165	219
YCR004C	3174	2056	2806	3764	2523
YCR005C	11306	16072	20746	29354	23135
YCR006C	53	37	51	93	58
YCR007C	321	267	493	354	324
YCR008W	932	761	818	770	751
YCR009C	1009	1239	1434	1074	1307
YCR010C	305	330	3604	6270	1785
YCR011C	1517	988	1016	1562	1060
YCR012W	33748	49338	61963	29297	47010
YCR013C	21118	29793	35804	17450	28210
YCR014C	459	207	202	465	201
YCR015C	20	66	72	40	49
YCR016W	77	126	164	147	144
YCR017C	829	926	1067	967	917
YCR018C	194	312	674	356	480
YCR018C-A	0	0	2	1	0
YCR019W	150	155	158	156	162
YCR020C	632	885	725	586	744
YCR020C-A	105	149	205	218	158
YCR020W-B	18	31	55	41	51
YCR021C	121435	107390	21902	44007	40129
YCR022C	5	10	12	10	7
YCR023C	942	1357	714	1015	865
YCR024C	197	214	173	189	185
YCR024C-A	2030	2701	2404	2528	2469
YCR024C-B	1883	2313	2055	2106	2122
YCR025C	17	17	21	16	20
YCR026C	552	470	476	574	545
YCR027C	40	69	117	80	98
YCR028C	175	192	304	295	267
YCR028C-A	294	509	736	472	703
YCR030C	1233	1149	1100	966	1174
YCR031C	1229	2220	3292	2776	2824
YCR032W	413	357	301	431	309
YCR033W	435	445	516	455	522
YCR034W	102	189	604	150	397
YCR035C	276	237	318	354	263
YCR036W	678	580	682	739	574
YCR037C	278	454	557	449	623
YCR038C	131	113	109	115	111
YCR038W-A	0	0	0	0	0
YCR039C	1	0	0	1	0
YCR040W	0	0	0	0	0
YCR041W	24	32	25	23	28
YCR042C	255	327	304	289	316
YCR043C	67	116	175	119	143
YCR044C	243	265	354	230	292
YCR045C	248	140	198	266	145
YCR045W-A	29	41	53	55	35
YCR046C	568	895	599	464	787
YCR047C	182	295	442	415	427
YCR047W-A	41	65	98	100	77
YCR048W	379	462	504	438	438
YCR049C	35	60	47	64	61
YCR050C	90	116	133	112	130
YCR051W	425	476	602	652	558
YCR052W	332	367	447	356	405
YCR053W	1278	1051	1305	2135	1147
YCR054C	100	90	123	165	143
YCR057C	101	212	235	168	195
YCR059C	322	369	481	580	443
YCR060W	405	284	306	490	280
YCR061W	1048	530	687	918	598
YCR063W	95	45	50	70	28
YCR064C	26	20	33	32	17
YCR065W	211	171	186	194	185
YCR066W	141	163	130	124	131
YCR067C	178	312	319	161	306
YCR068W	553	359	417	710	456
YCR069W	1634	1238	1400	1761	1286
YCR071C	225	324	257	227	334
YCR072C	14	48	99	31	75
YCR073C	194	233	343	275	270
